"month_id","platform_id","revenue_difference","volume_difference","previous_month_sales_rmb","mom_growth_pct","last_year_sales_rmb","yoy_growth_pct","yoy_status","yoy_difference"
"202601","1","0.00","0.0000","NULL","NULL","8815040918.60","-15.4042","CALCULATED","0.0000"
"202601","2","0.00","0.0000","NULL","NULL","145287461147.66","85.8439","CALCULATED","0.0000"
"202601","3","0.00","0.0000","NULL","NULL","30320418541.50","-11.3826","CALCULATED","0.0000"
"202601","4","0.00","0.0000","NULL","NULL","3333262543.00","659.8505","CALCULATED","0.0000"
"202602","1","0.00","0.0000","7457153513.54","194.8497","11465704305.80","91.7666","CALCULATED","0.0000"
"202602","2","0.00","0.0000","270007951082.45","-47.3496","140436897007.22","1.2271","CALCULATED","0.0000"
"202602","3","0.00","0.0000","26869170942.00","3.3645","28455064017.75","-2.3964","CALCULATED","0.0000"
"202602","4","0.00","0.0000","25327812033.00","-27.4097","5095698904.00","260.8052","CALCULATED","0.0000"
"202603","1","0.00","0.0000","21987394124.14","-40.4650","6978369019.70","87.5825","CALCULATED","0.0000"
"202603","2","0.00","0.0000","142160225330.36","76.4793","140544761133.76","78.5078","CALCULATED","0.0000"
"202603","3","0.00","0.0000","27773171316.00","-10.4286","22194527496.75","12.0854","CALCULATED","0.0000"
"202603","4","0.00","0.0000","18385546381.00","-58.0863","4470351101.00","72.3816","CALCULATED","0.0000"
"202604","1","0.00","0.0000","13090196332.72","31.2695","7498632668.27","129.1543","CALCULATED","0.0000"
"202604","2","0.00","0.0000","250883342319.91","26.8788","138302481457.36","130.1606","CALCULATED","0.0000"
"202604","3","0.00","0.0000","24876817080.75","1.8978","22350946261.50","13.4132","CALCULATED","0.0000"
"202604","4","0.00","0.0000","7706064046.00","582.1855","1329405985.00","3854.3716","CALCULATED","0.0000"
"202605","1","0.00","0.0000","17183437808.57","-9.7796","12629284376.22","22.7541","CALCULATED","0.0000"
"202605","2","0.00","0.0000","318317776093.91","-19.8537","134737712553.20","89.3456","CALCULATED","0.0000"
"202605","3","0.00","0.0000","25348930152.75","-3.2758","35018905362.75","-29.9848","CALCULATED","0.0000"
"202605","4","0.00","0.0000","52569652237.00","11.3164","6367336440.00","819.0447","CALCULATED","0.0000"
"202606","1","0.00","0.0000","15502959066.88","-10.9183","15080269792.25","-8.4214","CALCULATED","0.0000"
"202606","2","0.00","0.0000","255119964668.76","-20.2315","133720082064.71","52.1876","CALCULATED","0.0000"
"202606","3","0.00","0.0000","24518543049.00","96.9868","35091226793.25","37.6364","CALCULATED","0.0000"
"202606","4","0.00","0.0000","58518668515.00","9.6825","1212704880.00","5192.6931","CALCULATED","0.0000"